id;name;date;description;photo;photo_content_type;type
1;Profundo;2021-12-01;Música Arquitecto;../fake-data/blob/hipster.png;image/png;LANDING
2;Azul matrix;2021-12-01;24/7;../fake-data/blob/hipster.png;image/png;LAUNCH
3;Mancha payment;2021-12-02;Informática Rampa;../fake-data/blob/hipster.png;image/png;LAUNCH
4;Algodón;2021-12-02;pixel Sopa Pelota;../fake-data/blob/hipster.png;image/png;LAUNCH
5;Rojo;2021-12-01;Representante;../fake-data/blob/hipster.png;image/png;LANDING
6;Leone Futuro;2021-12-02;copy codificar Murcia;../fake-data/blob/hipster.png;image/png;LANDING
7;Atún array;2021-12-02;digital;../fake-data/blob/hipster.png;image/png;LANDING
8;XML Director;2021-12-02;Rojo Oficial Barrio;../fake-data/blob/hipster.png;image/png;LAUNCH
9;Account;2021-12-01;Dinánmico;../fake-data/blob/hipster.png;image/png;LAUNCH
10;Central;2021-12-02;Azul 24/7 Genérico;../fake-data/blob/hipster.png;image/png;LANDING
